batch_id,key_id,key_length,mismatched_bits,qber,eve_present,was_corrupted,poison_label
0,0,8,0,0.0,1,0,20
0,1,8,2,0.25,1,0,20
0,2,8,1,0.125,1,0,20
0,3,8,5,0.625,1,0,20
0,4,8,2,0.25,1,1,20
0,5,8,1,0.125,1,0,20
0,6,8,3,0.375,1,0,20
0,7,8,3,0.375,1,0,20
0,8,8,2,0.25,1,0,20
0,9,8,2,0.25,1,0,20
0,10,8,2,0.25,1,0,20
0,11,8,3,0.375,1,0,20
0,12,8,3,0.375,1,0,20
0,13,8,2,0.25,1,0,20
0,14,8,1,0.125,1,0,20
0,15,8,6,0.75,1,1,20
0,16,8,2,0.25,1,0,20
0,17,8,0,0.0,1,0,20
0,18,8,2,0.25,1,0,20
0,19,8,3,0.375,1,0,20
0,20,8,2,0.25,1,0,20
0,21,8,2,0.25,1,0,20
0,22,8,0,0.0,1,0,20
0,23,8,2,0.25,1,0,20
0,24,8,3,0.375,1,0,20
0,25,8,1,0.125,1,0,20
0,26,8,1,0.125,1,1,20
0,27,8,3,0.375,1,0,20
0,28,8,2,0.25,1,0,20
0,29,8,3,0.375,1,1,20
0,30,8,4,0.5,1,0,20
0,31,8,3,0.375,1,0,20
0,32,8,3,0.375,1,0,20
0,33,8,4,0.5,1,0,20
0,34,8,1,0.125,1,0,20
0,35,8,0,0.0,1,1,20
0,36,8,1,0.125,1,0,20
0,37,8,2,0.25,1,0,20
0,38,8,2,0.25,1,0,20
0,39,8,2,0.25,1,0,20
0,40,8,2,0.25,1,0,20
0,41,8,1,0.125,1,0,20
0,42,8,3,0.375,1,0,20
0,43,8,3,0.375,1,0,20
0,44,8,4,0.5,1,1,20
0,45,8,2,0.25,1,0,20
0,46,8,7,0.875,1,0,20
0,47,8,2,0.25,1,1,20
0,48,8,3,0.375,1,0,20
0,49,8,1,0.125,1,0,20
0,50,8,2,0.25,1,0,20
0,51,8,1,0.125,1,0,20
0,52,8,1,0.125,1,0,20
0,53,8,4,0.5,1,1,20
0,54,8,3,0.375,1,0,20
0,55,8,2,0.25,1,0,20
0,56,8,1,0.125,1,0,20
0,57,8,2,0.25,1,0,20
0,58,8,2,0.25,1,0,20
0,59,8,2,0.25,1,0,20
0,60,8,3,0.375,1,0,20
0,61,8,2,0.25,1,0,20
0,62,8,2,0.25,1,0,20
0,63,8,1,0.125,1,1,20
0,64,8,2,0.25,1,0,20
0,65,8,2,0.25,1,0,20
0,66,8,5,0.625,1,0,20
0,67,8,8,1.0,1,1,20
0,68,8,2,0.25,1,0,20
0,69,8,2,0.25,1,0,20
0,70,8,5,0.625,1,0,20
0,71,8,6,0.75,1,1,20
0,72,8,2,0.25,1,0,20
0,73,8,1,0.125,1,0,20
0,74,8,3,0.375,1,0,20
0,75,8,2,0.25,1,0,20
0,76,8,3,0.375,1,0,20
0,77,8,1,0.125,1,1,20
0,78,8,2,0.25,1,1,20
0,79,8,2,0.25,1,0,20
0,80,8,1,0.125,1,0,20
0,81,8,2,0.25,1,0,20
0,82,8,4,0.5,1,0,20
0,83,8,2,0.25,1,0,20
0,84,8,1,0.125,1,0,20
0,85,8,3,0.375,1,1,20
0,86,8,0,0.0,1,0,20
0,87,8,2,0.25,1,0,20
0,88,8,2,0.25,1,0,20
0,89,8,3,0.375,1,1,20
0,90,8,2,0.25,1,0,20
0,91,8,1,0.125,1,0,20
0,92,8,0,0.0,1,0,20
0,93,8,0,0.0,1,0,20
0,94,8,2,0.25,1,0,20
0,95,8,3,0.375,1,0,20
0,96,8,0,0.0,1,0,20
0,97,8,4,0.5,1,0,20
0,98,8,2,0.25,1,1,20
0,99,8,0,0.0,1,0,20
1,0,8,0,0.0,1,0,20
1,1,8,4,0.5,1,0,20
1,2,8,3,0.375,1,0,20
1,3,8,1,0.125,1,0,20
1,4,8,1,0.125,1,0,20
1,5,8,1,0.125,1,0,20
1,6,8,3,0.375,1,0,20
1,7,8,3,0.375,1,0,20
1,8,8,2,0.25,1,1,20
1,9,8,4,0.5,1,0,20
1,10,8,2,0.25,1,0,20
1,11,8,1,0.125,1,0,20
1,12,8,0,0.0,1,0,20
1,13,8,2,0.25,1,0,20
1,14,8,1,0.125,1,0,20
1,15,8,2,0.25,1,0,20
1,16,8,4,0.5,1,1,20
1,17,8,0,0.0,1,0,20
1,18,8,1,0.125,1,1,20
1,19,8,3,0.375,1,0,20
1,20,8,3,0.375,1,0,20
1,21,8,2,0.25,1,0,20
1,22,8,0,0.0,1,0,20
1,23,8,3,0.375,1,0,20
1,24,8,2,0.25,1,0,20
