batch_id,key_id,key_length,mismatched_bits,qber,eve_present,was_corrupted,poison_label
0,0,8,6,0.75,1,1,50
0,1,8,2,0.25,1,0,50
0,2,8,1,0.125,1,0,50
0,3,8,1,0.125,1,1,50
0,4,8,2,0.25,1,1,50
0,5,8,7,0.875,1,1,50
0,6,8,3,0.375,1,0,50
0,7,8,6,0.75,1,1,50
0,8,8,2,0.25,1,0,50
0,9,8,2,0.25,1,0,50
0,10,8,2,0.25,1,0,50
0,11,8,7,0.875,1,1,50
0,12,8,1,0.125,1,1,50
0,13,8,2,0.25,1,0,50
0,14,8,4,0.5,1,1,50
0,15,8,5,0.625,1,0,50
0,16,8,2,0.25,1,0,50
0,17,8,0,0.0,1,1,50
0,18,8,7,0.875,1,1,50
0,19,8,8,1.0,1,1,50
0,20,8,2,0.25,1,0,50
0,21,8,6,0.75,1,1,50
0,22,8,6,0.75,1,1,50
0,23,8,8,1.0,1,1,50
0,24,8,5,0.625,1,1,50
0,25,8,1,0.125,1,0,50
0,26,8,0,0.0,1,0,50
0,27,8,3,0.375,1,0,50
0,28,8,2,0.25,1,0,50
0,29,8,5,0.625,1,1,50
0,30,8,7,0.875,1,1,50
0,31,8,3,0.375,1,0,50
0,32,8,4,0.5,1,1,50
0,33,8,1,0.125,1,1,50
0,34,8,7,0.875,1,1,50
0,35,8,3,0.375,1,1,50
0,36,8,2,0.25,1,1,50
0,37,8,2,0.25,1,0,50
0,38,8,8,1.0,1,1,50
0,39,8,2,0.25,1,0,50
0,40,8,2,0.25,1,0,50
0,41,8,8,1.0,1,1,50
0,42,8,7,0.875,1,1,50
0,43,8,3,0.375,1,0,50
0,44,8,4,0.5,1,1,50
0,45,8,3,0.375,1,1,50
0,46,8,2,0.25,1,1,50
0,47,8,3,0.375,1,0,50
0,48,8,7,0.875,1,1,50
0,49,8,1,0.125,1,0,50
0,50,8,2,0.25,1,0,50
0,51,8,1,0.125,1,0,50
0,52,8,1,0.125,1,0,50
0,53,8,3,0.375,1,0,50
0,54,8,7,0.875,1,1,50
0,55,8,6,0.75,1,1,50
0,56,8,2,0.25,1,1,50
0,57,8,2,0.25,1,0,50
0,58,8,2,0.25,1,0,50
0,59,8,2,0.25,1,0,50
0,60,8,2,0.25,1,1,50
0,61,8,2,0.25,1,0,50
0,62,8,8,1.0,1,1,50
0,63,8,2,0.25,1,0,50
0,64,8,2,0.25,1,0,50
0,65,8,2,0.25,1,0,50
0,66,8,5,0.625,1,0,50
0,67,8,7,0.875,1,0,50
0,68,8,2,0.25,1,0,50
0,69,8,2,0.25,1,0,50
0,70,8,5,0.625,1,0,50
0,71,8,8,1.0,1,1,50
0,72,8,2,0.25,1,0,50
0,73,8,1,0.125,1,0,50
0,74,8,3,0.375,1,0,50
0,75,8,1,0.125,1,1,50
0,76,8,3,0.375,1,0,50
0,77,8,2,0.25,1,0,50
0,78,8,5,0.625,1,1,50
0,79,8,4,0.5,1,1,50
0,80,8,5,0.625,1,1,50
0,81,8,2,0.25,1,0,50
0,82,8,6,0.75,1,1,50
0,83,8,2,0.25,1,0,50
0,84,8,4,0.5,1,1,50
0,85,8,2,0.25,1,0,50
0,86,8,0,0.0,1,0,50
0,87,8,4,0.5,1,1,50
0,88,8,2,0.25,1,0,50
